  Lines            Copies        Function name
     25568 (0.2%)      6 (0.0%)  rustc_middle::ty::print::pretty::PrettyPrinter::try_print_visible_def_path_recur
     25163 (0.1%)     99 (0.2%)  <core::iter::adapters::ResultShunt<I,E> as core::iter::traits::iterator::Iterator>::next
     23600 (0.1%)    432 (0.7%)  rustc_data_structures::cold_path
     23499 (0.1%)      1 (0.0%)  rustc_parse::parser::nonterminal::<impl rustc_parse::parser::Parser>::parse_nonterminal
     23494 (0.1%)      1 (0.0%)  rustc_mir::borrow_check::do_mir_borrowck
     22857 (0.1%)     24 (0.0%)  hashbrown::raw::inner::RawTable<T>::reserve_rehash
     22855 (0.1%)     14 (0.0%)  rustc_ast::visit::walk_expr
     22771 (0.1%)     45 (0.1%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_struct
     22153 (0.1%)     96 (0.2%)  <alloc::collections::btree::map::IntoIter<K,V> as core::iter::traits::iterator::Iterator>::next
     22058 (0.1%)      7 (0.0%)  rustc_infer::infer::canonical::query_response::<impl rustc_infer::infer::InferCtxt>::instantiate_nll_query_response_and_region_obligations
     21421 (0.1%)      7 (0.0%)  rustc_middle::ty::print::pretty::PrettyPrinter::pretty_print_const
     21074 (0.1%)     59 (0.1%)  <core::iter::adapters::FilterMap<I,F> as core::iter::traits::iterator::Iterator>::next
     20990 (0.1%)      1 (0.0%)  <regex::exec::ExecNoSync as regex::re_trait::RegularExpression>::captures_read_at
     20853 (0.1%)     17 (0.0%)  rustc_middle::ty::query::profiling_support::alloc_self_profile_query_strings_for_query_cache
     20243 (0.1%)      3 (0.0%)  rustc_typeck::check::coercion::<impl rustc_typeck::check::FnCtxt>::try_find_coercion_lub
     20226 (0.1%)      1 (0.0%)  <proc_macro::bridge::server::Dispatcher<proc_macro::bridge::server::MarkedTypes<S>> as proc_macro::bridge::server::DispatcherTrait>::dispatch
     19799 (0.1%)     47 (0.1%)  rustc_hir::intravisit::walk_pat
     19757 (0.1%)    180 (0.3%)  hashbrown::raw::RawTable<T>::fallible_with_capacity
     19468 (0.1%)      1 (0.0%)  chalk_solve::clauses::program_clauses_that_could_match
     19241 (0.1%)    160 (0.3%)  <alloc::vec::Vec<T> as core::clone::Clone>::clone
     19220 (0.1%)    111 (0.2%)  alloc::slice::insert_head
     19086 (0.1%)      1 (0.0%)  rustc_middle::ty::query::on_disk_cache::OnDiskCache::serialize::{{closure}}::{{closure}}
     18407 (0.1%)      5 (0.0%)  rustc_infer::infer::canonical::query_response::<impl rustc_infer::infer::InferCtxt>::query_response_substitution
     18332 (0.1%)     62 (0.1%)  <alloc::vec::Vec<T> as rustc_data_structures::map_in_place::MapInPlace<T>>::flat_map_in_place
     17941 (0.1%)     69 (0.1%)  hashbrown::map::HashMap<K,V,S>::insert
     17239 (0.1%)     39 (0.1%)  <core::iter::adapters::flatten::FlatMap<I,U,F> as core::iter::traits::iterator::Iterator>::next
     16605 (0.1%)    117 (0.2%)  smallvec::SmallVec<A>::reserve
     16352 (0.1%)      2 (0.0%)  rustc_mir::interpret::visitor::ValueVisitor::walk_value
     16316 (0.1%)     14 (0.0%)  rustc_hir::intravisit::Visitor::visit_nested_item
     15925 (0.1%)     14 (0.0%)  <rustc_ast::ast::Pat as core::clone::Clone>::clone
     15898 (0.1%)     62 (0.1%)  rustc_serialize::serialize::Decoder::read_struct_field
     15855 (0.1%)      9 (0.0%)  rustc_hir::intravisit::walk_item
     15831 (0.1%)      9 (0.0%)  <&rustc_middle::ty::list::List<rustc_middle::ty::sty::ExistentialPredicate> as rustc_middle::ty::relate::Relate>::relate
     15614 (0.1%)     96 (0.2%)  std::collections::hash::map::HashMap<K,V,S>::get
     15599 (0.1%)      1 (0.0%)  polonius_engine::output::datafrog_opt::compute
     15486 (0.1%)      1 (0.0%)  rustc_metadata::rmeta::encoder::EncodeContext::encode_crate_root
     15446 (0.1%)     25 (0.0%)  rustc_middle::ty::print::pretty::FmtPrinter<F>::pretty_in_binder
     14967 (0.1%)     27 (0.0%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_seq
     14784 (0.1%)      6 (0.0%)  <rustc_infer::infer::nll_relate::TypeRelating<D> as rustc_middle::ty::relate::TypeRelation>::binders
     14699 (0.1%)     52 (0.1%)  rustc_serialize::serialize::Decoder::read_enum_variant
     14495 (0.1%)     83 (0.1%)  std::collections::hash::map::HashMap<K,V,S>::entry
     14322 (0.1%)     52 (0.1%)  rustc_hir::intravisit::walk_where_predicate
     14151 (0.1%)     50 (0.1%)  rustc_query_system::dep_graph::dep_node::DepNode<K>::construct
     14078 (0.1%)      3 (0.0%)  rustc_mir::borrow_check::region_infer::RegionInferenceContext::best_blame_constraint
     13987 (0.1%)     63 (0.1%)  rustc_hir::intravisit::walk_qpath
     13792 (0.1%)      2 (0.0%)  <regex::re_trait::Matches<R> as core::iter::traits::iterator::Iterator>::next
     13647 (0.1%)     46 (0.1%)  core::slice::sort::partial_insertion_sort
     13598 (0.1%)      7 (0.0%)  alloc::collections::btree::map::BTreeMap<K,V>::remove_entry
     13516 (0.1%)      3 (0.0%)  <rustc_infer::infer::InferCtxtBuilder as rustc_trait_selection::infer::InferCtxtBuilderExt>::enter_canonical_trait_query::{{closure}}
     13421 (0.1%)      1 (0.0%)  rustc_ast_lowering::expr::<impl rustc_ast_lowering::LoweringContext>::lower_expr_mut::{{closure}}
     13420 (0.1%)      2 (0.0%)  rustc_target::asm::x86::_DERIVE_rustc_serialize_Encodable_E_FOR_X86InlineAsmReg::<impl rustc_serialize::serialize::Encodable<__E> for rustc_target::asm::x86::X86InlineAsmReg>::encode::{{closure}}
     13259 (0.1%)      1 (0.0%)  rustc_target::spec::Target::from_json
     13158 (0.1%)      1 (0.0%)  rustc_target::asm::InlineAsmReg::overlapping_regs
     13085 (0.1%)     63 (0.1%)  rustc_hir::intravisit::walk_generic_param
     13069 (0.1%)      2 (0.0%)  rustc_target::abi::call::FnAbi<Ty>::adjust_for_cabi
     13009 (0.1%)      1 (0.0%)  <rustc_mir::transform::generator::StateTransform as rustc_mir::transform::MirPass>::run_pass
     12914 (0.1%)      2 (0.0%)  rustc_ast::ast::_DERIVE_rustc_serialize_Encodable_E_FOR_ExprKind::<impl rustc_serialize::serialize::Encodable<__E> for rustc_ast::ast::ExprKind>::encode::{{closure}}
     12810 (0.1%)      1 (0.0%)  rustc_codegen_llvm::intrinsic::generic_simd_intrinsic
     12316 (0.1%)      3 (0.0%)  rustc_middle::mir::_DERIVE_rustc_middle_ty_fold_TypeFoldable_tcx_FOR_Body::<impl rustc_middle::ty::fold::TypeFoldable for rustc_middle::mir::Body>::super_fold_with
     12301 (0.1%)    140 (0.2%)  alloc::vec::Vec<T>::push
     12287 (0.1%)     14 (0.0%)  alloc::collections::btree::map::VacantEntry<K,V>::insert
     12277 (0.1%)      2 (0.0%)  rustc_ast::ast::_DERIVE_rustc_serialize_Decodable_D_FOR_ExprKind::<impl rustc_serialize::serialize::Decodable<__D> for rustc_ast::ast::ExprKind>::decode::{{closure}}::{{closure}}
     12175 (0.1%)      2 (0.0%)  rustc_mir::interpret::step::<impl rustc_mir::interpret::eval_context::InterpCx<M>>::eval_rvalue_into_place
     12120 (0.1%)      2 (0.0%)  rustc_target::asm::arm::_DERIVE_rustc_serialize_Encodable_E_FOR_ArmInlineAsmReg::<impl rustc_serialize::serialize::Encodable<__E> for rustc_target::asm::arm::ArmInlineAsmReg>::encode::{{closure}}
     12021 (0.1%)      3 (0.0%)  rustc_typeck::astconv::generics::<impl dyn rustc_typeck::astconv::AstConv>::create_substs_for_generic_args
     12009 (0.1%)     14 (0.0%)  <rustc_ast::ast::Ty as core::clone::Clone>::clone
     11962 (0.1%)     42 (0.1%)  std::collections::hash::set::HashSet<T,S>::insert
     11880 (0.1%)      8 (0.0%)  <rustc_apfloat::ieee::IeeeFloat<S> as core::fmt::Display>::fmt
     11868 (0.1%)      6 (0.0%)  rustc_lint::early::EarlyContextAndPass<T>::with_lint_attrs
     11844 (0.1%)     24 (0.0%)  rustc_hir::intravisit::walk_trait_item
     11807 (0.1%)      2 (0.0%)  <rustc_mir::interpret::validity::ValidityVisitor<M> as rustc_mir::interpret::visitor::ValueVisitor<M>>::visit_value
     11692 (0.1%)      1 (0.0%)  rustc_middle::ty::layout::LayoutCx<rustc_middle::ty::context::TyCtxt>::layout_raw_uncached
     11475 (0.1%)      1 (0.0%)  rustc_typeck::check::method::suggest::<impl rustc_typeck::check::FnCtxt>::report_method_error
     11397 (0.1%)      1 (0.0%)  rustc_infer::infer::lexical_region_resolve::LexicalResolver::infer_variable_values
     11256 (0.1%)     21 (0.0%)  rustc_query_system::dep_graph::graph::CurrentDepGraph<K>::intern_node
     11235 (0.1%)    166 (0.3%)  alloc::sync::Arc<T>::drop_slow
     11183 (0.1%)     13 (0.0%)  rustc_ast::visit::walk_item
     11125 (0.1%)     17 (0.0%)  rustc_middle::ty::subst::<impl rustc_middle::ty::list::List<rustc_middle::ty::subst::GenericArg>>::fill_item
     10956 (0.1%)      1 (0.0%)  rustc_trait_selection::traits::select::confirmation::<impl rustc_trait_selection::traits::select::SelectionContext>::confirm_candidate
