  Lines            Copies        Function name
      7513 (0.0%)     23 (0.0%)  rustc_middle::ty::fold::TypeFoldable::visit_with
      7502 (0.0%)      1 (0.0%)  rustc_trait_selection::traits::object_safety::virtual_call_violation_for_method
      7487 (0.0%)     11 (0.0%)  rustc_mir::dataflow::framework::graphviz::diff_pretty
      7483 (0.0%)      1 (0.0%)  rustc_trait_selection::opaque_types::Instantiator::fold_opaque_ty
      7471 (0.0%)     25 (0.0%)  alloc::slice::<impl [T]>::join
      7443 (0.0%)      1 (0.0%)  rustc_trait_selection::traits::project::opt_normalize_projection_type
      7339 (0.0%)      2 (0.0%)  chalk_solve::clauses::builder::ClauseBuilder<I>::push_binders
      7297 (0.0%)     35 (0.1%)  core::iter::traits::iterator::Iterator::collect
      7296 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::type_check::TypeChecker::check_rvalue
      7263 (0.0%)      1 (0.0%)  <rustc_lint::non_ascii_idents::NonAsciiIdents as rustc_lint::passes::EarlyLintPass>::check_crate
      7170 (0.0%)     20 (0.0%)  rustc_query_system::query::job::QueryLatch<CTX>::find_cycle_in_stack
      7124 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::diagnostics::conflict_errors::<impl rustc_mir::borrow_check::MirBorrowckCtxt>::report_borrowed_value_does_not_live_long_enough
      7110 (0.0%)      1 (0.0%)  rustc_middle::ty::query::try_load_from_on_disk_cache
      7069 (0.0%)     31 (0.1%)  rustc_arena::TypedArenaChunk<T>::destroy
      7060 (0.0%)     10 (0.0%)  rustc_middle::ty::relate::TypeRelation::relate_item_substs
      7059 (0.0%)     41 (0.1%)  alloc::slice::<impl [T]>::to_vec
      7052 (0.0%)     58 (0.1%)  std::sync::once::Once::call_once::{{closure}}
      7008 (0.0%)     32 (0.1%)  tracing_core::event::Event::dispatch
      6996 (0.0%)      1 (0.0%)  <rustc_infer::infer::InferCtxt as rustc_trait_selection::traits::error_reporting::InferCtxtExt>::report_selection_error
      6992 (0.0%)     50 (0.1%)  rustc_hir::intravisit::walk_struct_def
      6974 (0.0%)      1 (0.0%)  rustc_mir_build::thir::constant::parse_float
      6973 (0.0%)     11 (0.0%)  <rustc_serialize::json::Decoder as rustc_serialize::serialize::Decoder>::read_enum_variant_arg
      6935 (0.0%)     10 (0.0%)  rustc_middle::ty::normalize_erasing_regions::<impl rustc_middle::ty::context::TyCtxt>::normalize_erasing_regions
      6929 (0.0%)     16 (0.0%)  <rustc_serialize::json::Encoder as rustc_serialize::serialize::Encoder>::emit_struct
      6908 (0.0%)      1 (0.0%)  regex::re_bytes::Regex::find_at
      6908 (0.0%)      1 (0.0%)  regex::re_unicode::Regex::find_at
      6829 (0.0%)      4 (0.0%)  rustc_middle::query::<impl rustc_query_system::query::config::QueryDescription<rustc_middle::ty::context::TyCtxt> for rustc_middle::ty::query::queries::mir_borrowck>::try_load_from_disk
      6783 (0.0%)      1 (0.0%)  rustc_metadata::dependency_format::calculate_type
      6774 (0.0%)      1 (0.0%)  rustc_typeck::collect::codegen_fn_attrs
      6766 (0.0%)      1 (0.0%)  <rustc_mir::monomorphize::partitioning::default::DefaultPartitioning as rustc_mir::monomorphize::partitioning::Partitioner>::place_root_mono_items
      6727 (0.0%)      1 (0.0%)  <rustc_mir::transform::const_prop::ConstProp as rustc_mir::transform::MirPass>::run_pass
      6720 (0.0%)      5 (0.0%)  <rustc_privacy::DefIdVisitorSkeleton<V> as rustc_middle::ty::fold::TypeVisitor>::visit_ty
      6678 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::places_conflict::place_projection_conflict
      6661 (0.0%)     19 (0.0%)  rustc_ast::visit::walk_assoc_item
      6635 (0.0%)      1 (0.0%)  <rustc_parse_format::Parser as core::iter::traits::iterator::Iterator>::next
      6621 (0.0%)      1 (0.0%)  rustc_typeck::check::coercion::Coerce::coerce
      6604 (0.0%)      1 (0.0%)  rustc_resolve::late::LateResolutionVisitor::resolve_item
      6535 (0.0%)      1 (0.0%)  rustc_typeck::collect::type_of::type_of
      6518 (0.0%)      2 (0.0%)  rustc_data_structures::graph::scc::SccsConstruction<G,S>::walk_node
      6512 (0.0%)      1 (0.0%)  rustc_mir_build::build::expr::into::<impl rustc_mir_build::build::Builder>::into_expr
      6503 (0.0%)      1 (0.0%)  rustc_mir_build::build::mir_build::{{closure}}
      6496 (0.0%)      4 (0.0%)  rustc_infer::infer::higher_ranked::<impl rustc_infer::infer::combine::CombineFields>::higher_ranked_sub
      6481 (0.0%)     29 (0.0%)  hashbrown::map::make_hash
      6436 (0.0%)      2 (0.0%)  rustc_infer::infer::InferCtxtBuilder::enter
      6413 (0.0%)      1 (0.0%)  <rustc_middle::ty::context::TypeckResults as rustc_data_structures::stable_hasher::HashStable<rustc_middle::ich::hcx::StableHashingContext>>::hash_stable::{{closure}}
      6410 (0.0%)     19 (0.0%)  <&T as rustc_data_structures::stable_hasher::HashStable<CTX>>::hash_stable
      6362 (0.0%)      2 (0.0%)  rustc_typeck::check::typeck_with_fallback
      6345 (0.0%)      1 (0.0%)  rustc_trait_selection::traits::select::SelectionContext::candidate_from_obligation_no_cache
      6336 (0.0%)      1 (0.0%)  rustc_trait_selection::traits::select::confirmation::<impl rustc_trait_selection::traits::select::SelectionContext>::confirm_builtin_unsize_candidate
      6314 (0.0%)      1 (0.0%)  rustc_codegen_ssa::mir::block::<impl rustc_codegen_ssa::mir::FunctionCx<Bx>>::codegen_call_terminator
      6313 (0.0%)      1 (0.0%)  rustc_codegen_ssa::mir::codegen_mir
      6280 (0.0%)     40 (0.1%)  hashbrown::raw::RawTable<T>::find_insert_slot
      6262 (0.0%)      1 (0.0%)  chalk_engine::logic::SolveState<I,C,CO>::ensure_root_answer
      6254 (0.0%)      3 (0.0%)  rustc_ast::ast::_DERIVE_rustc_serialize_Encodable_E_FOR_Pat::<impl rustc_serialize::serialize::Encodable<__E> for rustc_ast::ast::Pat>::encode
      6252 (0.0%)      3 (0.0%)  rustc_middle::ty::normalize_erasing_regions::<impl rustc_middle::ty::context::TyCtxt>::normalize_erasing_late_bound_regions
      6232 (0.0%)      1 (0.0%)  rustc_mir::transform::inline::Inliner::run_pass
      6231 (0.0%)      1 (0.0%)  <rustc_middle::ty::query::Query as rustc_data_structures::stable_hasher::HashStable<rustc_middle::ich::hcx::StableHashingContext>>::hash_stable
      6227 (0.0%)      8 (0.0%)  <A as rustc_mir::dataflow::framework::Analysis>::apply_statement_effect
      6196 (0.0%)      2 (0.0%)  rustc_middle::mir::interpret::AllocDecodingSession::decode_alloc_id
      6195 (0.0%)      4 (0.0%)  <rustc_lint::late::LateContextAndPass<T> as rustc_hir::intravisit::Visitor>::visit_item
      6194 (0.0%)      2 (0.0%)  rustc_middle::ty::codec::encode_with_shorthand
      6190 (0.0%)      4 (0.0%)  rustc_ast::mut_visit::noop_visit_item_kind
      6172 (0.0%)      1 (0.0%)  rustc_codegen_ssa::base::<impl rustc_codegen_ssa::CrateInfo>::new
      6150 (0.0%)      9 (0.0%)  rustc_parse::parser::Parser::parse_seq_to_before_tokens
      6136 (0.0%)      2 (0.0%)  <dyn rustc_typeck::astconv::AstConv>::one_bound_for_assoc_type
      6114 (0.0%)      8 (0.0%)  rustc_middle::ty::relate::TypeRelation::relate
      6112 (0.0%)      2 (0.0%)  rustc_mir::util::elaborate_drops::DropCtxt<D>::elaborate_drop
      6103 (0.0%)      1 (0.0%)  <dyn rustc_typeck::astconv::AstConv>::associated_path_to_ty
      6096 (0.0%)      1 (0.0%)  rustc_typeck::check::check_impl_items_against_trait
      6086 (0.0%)      1 (0.0%)  rustc_ast_lowering::item::<impl rustc_ast_lowering::LoweringContext>::lower_item_kind
      6035 (0.0%)      1 (0.0%)  rustc_typeck::collect::explicit_predicates_of
      6033 (0.0%)      3 (0.0%)  rustc_infer::infer::higher_ranked::<impl rustc_infer::infer::combine::CombineFields>::higher_ranked_sub::{{closure}}
      6030 (0.0%)      6 (0.0%)  <rustc_middle::ty::print::pretty::FmtPrinter<F> as rustc_middle::ty::print::Printer>::print_def_path
      6029 (0.0%)      1 (0.0%)  rustc_mir_build::build::matches::test::<impl rustc_mir_build::build::Builder>::perform_test
      6023 (0.0%)      1 (0.0%)  rustc_metadata::creader::CrateLoader::maybe_resolve_crate
      6022 (0.0%)      7 (0.0%)  datafrog::Relation<Tuple>::from_vec
      5990 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::type_check::TypeChecker::eq_opaque_type_and_type
      5955 (0.0%)      2 (0.0%)  rustc_middle::ty::relate::super_relate_tys
      5936 (0.0%)      1 (0.0%)  rustc_passes::liveness::visit_fn
      5933 (0.0%)      1 (0.0%)  rustc_typeck::check::writeback::<impl rustc_typeck::check::FnCtxt>::resolve_type_vars_in_body
      5924 (0.0%)      1 (0.0%)  polonius_engine::output::liveness::compute_live_origins
      5914 (0.0%)      1 (0.0%)  <chalk_solve::rust_ir::TraitDatum<I> as chalk_solve::clauses::program_clauses::ToProgramClauses<I>>::to_program_clauses::{{closure}}
      5896 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::diagnostics::region_name::<impl rustc_mir::borrow_check::MirBorrowckCtxt>::give_region_a_name
      5873 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::type_check::liveness::generate
      5860 (0.0%)      1 (0.0%)  <rustc_ast_passes::feature_gate::PostExpansionVisitor as rustc_ast::visit::Visitor>::visit_item
      5849 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::nll::dump_mir_results
      5848 (0.0%)      1 (0.0%)  rustc_typeck::check::dropck::check_drop_impl
      5844 (0.0%)      1 (0.0%)  rustc_mir::transform::inline::Inliner::should_inline
      5836 (0.0%)     39 (0.1%)  <std::collections::hash::map::Iter<K,V> as core::iter::traits::iterator::Iterator>::next
      5825 (0.0%)      1 (0.0%)  rustc_mir_build::thir::pattern::_match::is_useful
      5824 (0.0%)      5 (0.0%)  rustc_mir::transform::check_consts::qualifs::in_operand
      5809 (0.0%)      2 (0.0%)  rustc_mir::interpret::operand::<impl rustc_mir::interpret::eval_context::InterpCx<M>>::read_discriminant
      5805 (0.0%)     14 (0.0%)  rustc_middle::ty::erase_regions::<impl rustc_middle::ty::context::TyCtxt>::erase_regions
      5786 (0.0%)     73 (0.1%)  <&mut W as core::fmt::Write>::write_char
      5786 (0.0%)      2 (0.0%)  rustc_mir::interpret::cast::<impl rustc_mir::interpret::eval_context::InterpCx<M>>::unsize_into_ptr
      5767 (0.0%)      1 (0.0%)  rustc_typeck::check::coercion::Coerce::coerce_unsized
      5746 (0.0%)      4 (0.0%)  rustc_typeck::check::method::suggest::<impl rustc_typeck::check::FnCtxt>::report_method_error::{{closure}}
      5734 (0.0%)     16 (0.0%)  rustc_ast::visit::walk_ty
      5727 (0.0%)     20 (0.0%)  rustc_query_system::dep_graph::graph::CurrentDepGraph<K>::complete_anon_task
      5720 (0.0%)      3 (0.0%)  rustc_middle::ty::AdtDef::eval_explicit_discr
      5716 (0.0%)     16 (0.0%)  rustc_ast::visit::walk_foreign_item
      5709 (0.0%)      6 (0.0%)  rustc_middle::ty::print::pretty::with_no_queries::{{closure}}
      5688 (0.0%)      1 (0.0%)  rustc_typeck::check::closure::<impl rustc_typeck::check::FnCtxt>::supplied_sig_of_closure
      5683 (0.0%)      1 (0.0%)  <rustc_ast_lowering::item::ItemLowerer as rustc_ast::visit::Visitor>::visit_assoc_item::{{closure}}
      5682 (0.0%)      1 (0.0%)  chalk_solve::clauses::builtin_traits::unsize::add_unsize_program_clauses
      5654 (0.0%)      1 (0.0%)  <rustc_mir::transform::simplify_try::SimplifyArmIdentity as rustc_mir::transform::MirPass>::run_pass
      5653 (0.0%)     15 (0.0%)  rustc_middle::query::<impl rustc_query_system::query::config::QueryDescription<rustc_middle::ty::context::TyCtxt> for rustc_middle::ty::query::queries::type_of>::try_load_from_disk
      5643 (0.0%)      4 (0.0%)  rustc_mir::dataflow::framework::engine::Engine<A>::iterate_to_fixpoint
      5631 (0.0%)     19 (0.0%)  rustc_serialize::serialize::Decoder::read_seq
      5629 (0.0%)      1 (0.0%)  rustc_mir::monomorphize::polymorphize::unused_generic_params
      5623 (0.0%)      1 (0.0%)  rustc_session::config::build_session_options
      5621 (0.0%)      2 (0.0%)  rustc_middle::query::<impl rustc_query_system::query::config::QueryDescription<rustc_middle::ty::context::TyCtxt> for rustc_middle::ty::query::queries::specialization_graph_of>::try_load_from_disk
      5617 (0.0%)    108 (0.2%)  <std::panicking::begin_panic::PanicPayload<A> as core::panic::BoxMeUp>::take_box
      5611 (0.0%)      1 (0.0%)  rustc_resolve::Resolver::resolve_crate
      5608 (0.0%)      1 (0.0%)  rustc_infer::infer::error_reporting::<impl rustc_infer::infer::InferCtxt>::note_type_err
      5601 (0.0%)     21 (0.0%)  rustc_query_system::dep_graph::debug::DepNodeFilter::test
      5568 (0.0%)      1 (0.0%)  <rustc_middle::traits::specialization_graph::Children as rustc_trait_selection::traits::specialize::specialization_graph::ChildrenExt>::insert
      5566 (0.0%)     36 (0.1%)  smallvec::SmallVec<A>::push
      5550 (0.0%)     37 (0.1%)  core::str::pattern::TwoWaySearcher::next
      5493 (0.0%)      1 (0.0%)  chalk_engine::logic::<impl chalk_engine::forest::Forest<I,C>>::build_table
      5488 (0.0%)      1 (0.0%)  regex_automata::minimize::Minimizer<S>::run
      5486 (0.0%)      1 (0.0%)  rustc_resolve::build_reduced_graph::BuildReducedGraphVisitor::build_reduced_graph_for_item
      5482 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::region_infer::RegionInferenceContext::new
      5478 (0.0%)      3 (0.0%)  rustc_ast::ast::_DERIVE_rustc_serialize_Encodable_E_FOR_Ty::<impl rustc_serialize::serialize::Encodable<__E> for rustc_ast::ast::Ty>::encode
      5466 (0.0%)      3 (0.0%)  <rustc_infer::infer::InferCtxt as rustc_trait_selection::traits::error_reporting::InferCtxtExt>::report_overflow_error
      5466 (0.0%)      1 (0.0%)  rustc_middle::ty::error::<impl rustc_middle::ty::context::TyCtxt>::note_and_explain_type_err
      5461 (0.0%)     35 (0.1%)  core::iter::traits::iterator::Iterator::try_fold
      5451 (0.0%)      3 (0.0%)  rustc_hir::intravisit::Visitor::visit_item
      5445 (0.0%)     55 (0.1%)  alloc::raw_vec::finish_grow
      5390 (0.0%)     11 (0.0%)  datafrog::join::join_helper
      5389 (0.0%)      1 (0.0%)  <rustc_mir::transform::copy_prop::CopyPropagation as rustc_mir::transform::MirPass>::run_pass
      5375 (0.0%)     19 (0.0%)  <rustc_middle::ty::fold::<impl rustc_middle::ty::context::TyCtxt>::any_free_region_meets::RegionVisitor<F> as rustc_middle::ty::fold::TypeVisitor>::visit_ty
      5370 (0.0%)      1 (0.0%)  rustc_infer::infer::error_reporting::nice_region_error::static_impl_trait::<impl rustc_infer::infer::error_reporting::nice_region_error::NiceRegionError>::try_report_static_impl_trait
      5369 (0.0%)      1 (0.0%)  rustc_middle::ty::query::on_disk_cache::OnDiskCache::serialize::{{closure}}
      5349 (0.0%)      1 (0.0%)  <rustc_hir::hir::Item as rustc_save_analysis::sig::Sig>::make
      5344 (0.0%)      1 (0.0%)  rustc_typeck::check::demand::<impl rustc_typeck::check::FnCtxt>::emit_coerce_suggestions
      5336 (0.0%)      1 (0.0%)  rustc_typeck::check_crate
      5294 (0.0%)     15 (0.0%)  <rustc_query_system::query::plumbing::QueryState<CTX,C> as core::default::Default>::default
      5292 (0.0%)      7 (0.0%)  rustc_errors::emitter::Emitter::fix_multispans_in_extern_macros
      5280 (0.0%)      1 (0.0%)  regex::exec::ExecBuilder::build
      5278 (0.0%)      1 (0.0%)  aho_corasick::packed::api::Builder::build
      5269 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::type_check::TypeChecker::check_terminator
      5263 (0.0%)      1 (0.0%)  cc::Build::try_compile
      5241 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::region_infer::RegionInferenceContext::find_sub_region_live_at
      5236 (0.0%)      1 (0.0%)  rustc_incremental::assert_module_sources::AssertModuleSource::check_attr
      5231 (0.0%)     38 (0.1%)  core::slice::sort::shift_tail
      5223 (0.0%)      1 (0.0%)  rustc_resolve::late::lifetimes::LifetimeContext::visit_segment_args
      5219 (0.0%)      3 (0.0%)  <rustc_mir::transform::check_consts::resolver::FlowSensitiveAnalysis<Q> as rustc_mir::dataflow::framework::Analysis>::apply_terminator_effect
      5216 (0.0%)      1 (0.0%)  rustc_typeck::check::FnCtxt::instantiate_value_path
      5211 (0.0%)      3 (0.0%)  rustc_resolve::diagnostics::<impl rustc_resolve::Resolver>::lookup_import_candidates_from_module
      5188 (0.0%)      1 (0.0%)  rustc_codegen_ssa::back::write::start_executing_work
      5165 (0.0%)      1 (0.0%)  rustc_resolve::diagnostics::<impl rustc_resolve::Resolver>::into_struct_error
      5158 (0.0%)      1 (0.0%)  rustc_driver::run_compiler
      5155 (0.0%)      1 (0.0%)  rustc_infer::infer::error_reporting::<impl rustc_infer::infer::InferCtxt>::report_region_errors
      5152 (0.0%)      1 (0.0%)  rustc_ast_passes::feature_gate::PostExpansionVisitor::check_abi
      5148 (0.0%)     23 (0.0%)  <rustc_span::MultiSpan as core::clone::Clone>::clone
      5137 (0.0%)      1 (0.0%)  rustc_mir::monomorphize::partitioning::merging::merge_codegen_units
      5137 (0.0%)      1 (0.0%)  rustc_mir_build::build::matches::<impl rustc_mir_build::build::Builder>::bind_and_guard_matched_candidate
      5133 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::diagnostics::conflict_errors::<impl rustc_mir::borrow_check::MirBorrowckCtxt>::annotate_argument_and_return_for_borrow
      5113 (0.0%)     20 (0.0%)  rustc_hir::intravisit::walk_impl_item
      5094 (0.0%)      2 (0.0%)  <rustc_ast::ast::ItemKind as core::clone::Clone>::clone
      5063 (0.0%)      4 (0.0%)  rustc_resolve::late::LateResolutionVisitor::with_generic_param_rib
      5047 (0.0%)      1 (0.0%)  rustc_codegen_ssa::mir::block::<impl rustc_codegen_ssa::mir::FunctionCx<Bx>>::codegen_terminator
      5035 (0.0%)     46 (0.1%)  <alloc::vec::Vec<T> as rustc_serialize::serialize::Encodable<S>>::encode::{{closure}}
      5014 (0.0%)      1 (0.0%)  rustc_typeck::impl_wf_check::enforce_impl_params_are_constrained
      4992 (0.0%)      1 (0.0%)  rustc_codegen_llvm::consts::<impl rustc_codegen_llvm::context::CodegenCx>::get_static
      4988 (0.0%)      1 (0.0%)  rustc_mir::dataflow::move_paths::builder::gather_moves
      4984 (0.0%)      1 (0.0%)  rustc_ast_lowering::LoweringContext::lower_crate
      4982 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::MirBorrowckCtxt::check_access_for_conflict::{{closure}}
      4977 (0.0%)      1 (0.0%)  rustc_expand::mbe::macro_rules::generic_extension
      4976 (0.0%)      1 (0.0%)  rustc_mir::util::spanview::write_next_viewable_with_overlaps
      4971 (0.0%)     32 (0.1%)  rustc_hir::intravisit::walk_foreign_item
      4963 (0.0%)      7 (0.0%)  rustc_middle::ty::codec::<impl rustc_serialize::serialize::Decodable<D> for rustc_middle::mir::Place>::decode
      4962 (0.0%)      5 (0.0%)  rustc_infer::infer::InferCtxt::probe
      4942 (0.0%)      1 (0.0%)  rustc_middle::ty::layout::LayoutCx<rustc_middle::ty::context::TyCtxt>::generator_layout
      4920 (0.0%)      7 (0.0%)  rustc_middle::mir::_DERIVE_rustc_serialize_Decodable_D_FOR_UserTypeProjection::<impl rustc_serialize::serialize::Decodable<__D> for rustc_middle::mir::UserTypeProjection>::decode
      4918 (0.0%)      1 (0.0%)  rustc_resolve::late::lifetimes::LifetimeContext::visit_fn_like_elision
      4913 (0.0%)     13 (0.0%)  rustc_mir::dataflow::framework::graphviz::BlockFormatter<A>::write_row_with_full_state
      4900 (0.0%)     28 (0.0%)  <alloc::vec::Vec<T> as core::iter::traits::collect::Extend<T>>::extend
      4873 (0.0%)      1 (0.0%)  <rustc_passes::stability::Annotator as rustc_hir::intravisit::Visitor>::visit_item
      4832 (0.0%)      1 (0.0%)  rustc_mir::interpret::terminator::<impl rustc_mir::interpret::eval_context::InterpCx<M>>::eval_fn_call
      4812 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::type_check::type_check_internal
      4810 (0.0%)      1 (0.0%)  rustc_typeck::check::method::probe::ProbeContext::assemble_probe
      4808 (0.0%)      1 (0.0%)  rustc_ast_pretty::pprust::State::print_expr_outer_attr_style
      4789 (0.0%)      1 (0.0%)  rustc_metadata::rmeta::encoder::EncodeContext::encode_impls
      4786 (0.0%)      1 (0.0%)  rustc_codegen_ssa::_DERIVE_rustc_serialize_Decodable_D_FOR_CrateInfo::<impl rustc_serialize::serialize::Decodable<__D> for rustc_codegen_ssa::CrateInfo>::decode::{{closure}}
      4779 (0.0%)     12 (0.0%)  rustc_lint::late::LateContextAndPass<T>::with_param_env
      4769 (0.0%)     11 (0.0%)  rustc_serialize::serialize::Encoder::emit_struct
      4746 (0.0%)      3 (0.0%)  rustc_ast::ast::_DERIVE_rustc_serialize_Encodable_E_FOR_Expr::<impl rustc_serialize::serialize::Encodable<__E> for rustc_ast::ast::Expr>::encode
      4735 (0.0%)      1 (0.0%)  rustc_mir::const_eval::eval_queries::eval_body_using_ecx
      4730 (0.0%)      1 (0.0%)  rustc_typeck::check::upvar::<impl rustc_typeck::check::FnCtxt>::analyze_closure
      4713 (0.0%)      2 (0.0%)  rustc_infer::infer::outlives::obligations::TypeOutlives<D>::projection_must_outlive
      4704 (0.0%)      1 (0.0%)  rustc_codegen_llvm::context::CodegenCx::declare_intrinsic
      4693 (0.0%)      1 (0.0%)  rustc_parse::parser::expr::<impl rustc_parse::parser::Parser>::parse_bottom_expr
      4691 (0.0%)      1 (0.0%)  rustc_codegen_llvm::back::lto::fat_lto
      4671 (0.0%)      1 (0.0%)  rustc_infer::infer::error_reporting::<impl rustc_infer::infer::InferCtxt>::construct_generic_bound_failure
      4661 (0.0%)      1 (0.0%)  rustc_codegen_ssa::back::symbol_export::reachable_non_generics_provider
      4644 (0.0%)      6 (0.0%)  rustc_middle::ty::print::pretty::PrettyPrinter::pretty_print_dyn_existential::{{closure}}
      4624 (0.0%)     21 (0.0%)  rustc_ast::visit::walk_where_predicate
      4619 (0.0%)      1 (0.0%)  rustc_typeck::astconv::errors::<impl dyn rustc_typeck::astconv::AstConv>::complain_about_missing_associated_types
      4618 (0.0%)      1 (0.0%)  rustc_mir::shim::build_adt_ctor
      4613 (0.0%)      1 (0.0%)  rustc_infer::infer::region_constraints::leak_check::<impl rustc_infer::infer::region_constraints::RegionConstraintCollector>::leak_check
      4609 (0.0%)      1 (0.0%)  rustc_typeck::check::wfcheck::check_where_clauses
      4596 (0.0%)      5 (0.0%)  rustc_resolve::late::lifetimes::LifetimeContext::with
      4588 (0.0%)      2 (0.0%)  rustc_mir::interpret::validity::ValidityVisitor<M>::check_wide_ptr_meta
      4582 (0.0%)      8 (0.0%)  rustc_middle::ty::print::Printer::default_print_impl_path
      4566 (0.0%)      3 (0.0%)  <rustc_infer::infer::InferCtxt as rustc_trait_selection::infer::InferCtxtExt>::partially_normalize_associated_types_in
      4564 (0.0%)      1 (0.0%)  <rustc_middle::ty::context::TyCtxt::debug_stats::DebugStats as core::fmt::Debug>::fmt
      4542 (0.0%)      2 (0.0%)  rustc_mir::interpret::place::<impl rustc_mir::interpret::eval_context::InterpCx<M>>::mplace_projection
      4510 (0.0%)      1 (0.0%)  <rustc_mir::monomorphize::collector::RootCollector as rustc_hir::itemlikevisit::ItemLikeVisitor>::visit_item
      4502 (0.0%)      1 (0.0%)  rustc_mir::borrow_check::diagnostics::move_errors::<impl rustc_mir::borrow_check::MirBorrowckCtxt>::report
      4499 (0.0%)      1 (0.0%)  <rustc_infer::infer::InferCtxt as rustc_trait_selection::traits::error_reporting::suggestions::InferCtxtExt>::maybe_note_obligation_cause_for_async_await
      4498 (0.0%)      1 (0.0%)  rustc_builtin_macros::asm::expand_preparsed_asm
      4494 (0.0%)      1 (0.0%)  rustc_middle::ty::layout::LayoutCx<rustc_middle::ty::context::TyCtxt>::univariant_uninterned
      4492 (0.0%)      1 (0.0%)  rustc_resolve::late::lifetimes::resolve_lifetimes
      4490 (0.0%)      8 (0.0%)  <rustc_ast::ast::Stmt as core::clone::Clone>::clone
      4489 (0.0%)      1 (0.0%)  <rustc_typeck::outlives::implicit_infer::InferVisitor as rustc_hir::itemlikevisit::ItemLikeVisitor>::visit_item
      4480 (0.0%)     11 (0.0%)  <rustc_middle::ty::sty::TypeAndMut as rustc_middle::ty::relate::Relate>::relate
      4477 (0.0%)     37 (0.1%)  tracing_core::dispatcher::Entered::current
      4472 (0.0%)      1 (0.0%)  rustc_infer::infer::error_reporting::nice_region_error::placeholder_error::<impl rustc_infer::infer::error_reporting::nice_region_error::NiceRegionError>::try_report_placeholders_trait
      4464 (0.0%)      1 (0.0%)  rustc_infer::infer::error_reporting::<impl rustc_infer::infer::InferCtxt>::report_sub_sup_conflict
      4463 (0.0%)      1 (0.0%)  rustc_trait_selection::traits::auto_trait::AutoTraitFinder::evaluate_predicates
      4446 (0.0%)      1 (0.0%)  rustc_mir::transform::const_prop::ConstPropagator::const_prop
      4438 (0.0%)      1 (0.0%)  rustc_metadata::locator::CrateLocator::extract_one
      4436 (0.0%)      1 (0.0%)  rustc_ast_passes::feature_gate::check_crate
      4429 (0.0%)      1 (0.0%)  <rustc_typeck::check::regionck::RegionCtxt as rustc_hir::intravisit::Visitor>::visit_expr
      4410 (0.0%)      1 (0.0%)  rustc_typeck::check::wfcheck::check_trait
      4394 (0.0%)      1 (0.0%)  rustc_mir::transform::elaborate_drops::ElaborateDropsCtxt::elaborate
      4378 (0.0%)      1 (0.0%)  rustc_typeck::check::compare_method::compare_predicate_entailment::{{closure}}
      4375 (0.0%)      1 (0.0%)  rustc_middle::ty::layout::<impl rustc_middle::ty::instance::Instance>::fn_sig_for_fn_abi
      4372 (0.0%)      1 (0.0%)  rustc_mir::transform::simplify_try::optimization_applies
      4363 (0.0%)      1 (0.0%)  rustc_typeck::check::pat::<impl rustc_typeck::check::FnCtxt>::check_struct_pat_fields
      4361 (0.0%)      1 (0.0%)  <chalk_solve::rust_ir::OpaqueTyDatum<I> as chalk_solve::clauses::program_clauses::ToProgramClauses<I>>::to_program_clauses::{{closure}}
      4356 (0.0%)      1 (0.0%)  chalk_engine::logic::SolveState<I,C,CO>::merge_answer_into_strand
      4337 (0.0%)      3 (0.0%)  rustc_serialize::serialize::Encoder::emit_enum
      4320 (0.0%)     36 (0.1%)  hashbrown::raw::RawTable<T>::iter
      4313 (0.0%)      1 (0.0%)  rustc_infer::infer::error_reporting::<impl rustc_infer::infer::InferCtxt>::cmp_fn_sig
      4312 (0.0%)      1 (0.0%)  rustc_mir::shim::make_shim
      4305 (0.0%)      1 (0.0%)  rustc_passes::region::resolve_expr
      4303 (0.0%)     29 (0.0%)  std::thread::local::fast::Key<T>::try_initialize
      4297 (0.0%)      1 (0.0%)  regex::re_bytes::Regex::shortest_match_at
      4297 (0.0%)      1 (0.0%)  regex::re_unicode::Regex::shortest_match_at
      4296 (0.0%)     24 (0.0%)  <rustc_middle::ty::print::pretty::FmtPrinter<F> as rustc_middle::ty::print::pretty::PrettyPrinter>::generic_delimiters
      4294 (0.0%)      1 (0.0%)  rustc_typeck::coherence::builtin::coerce_unsized_info
      4291 (0.0%)      1 (0.0%)  rustc_typeck::check::method::suggest::<impl rustc_typeck::check::FnCtxt>::suggest_traits_to_import
      4285 (0.0%)      1 (0.0%)  rustc_passes::weak_lang_items::check_crate
      4280 (0.0%)      1 (0.0%)  rustc_middle::ty::<impl rustc_middle::ty::context::TyCtxt>::impls_are_allowed_to_overlap
      4272 (0.0%)      1 (0.0%)  rustc_middle::ty::query::stats::print_stats
